,Unnamed: 0,Unnamed: 0.1,Hotel,Liked,Disliked,Score,Combined comment
1601,1994,3291,Mirage Hotel,"The hotel has a fantastic location, beach access and beautiful views. Rooms are decent-sized and food in the cafe/restaurant is tasty. This is the third time we stay at this hotel for our summer vacation and we hope to stay there again. It provides an enjoyable vacation as long as you're are aware of the drawbacks (listed below). Staff is friendly and polite, nothing beats the location. It's really just the outdated amenities that are a bit of a disappointment..","We have stayed at Mirage 3 times over the span of 6 years, and were a little disappointed some amenities have stayed the same (zero improvement) and below the level of a real 4-star hotel. These are: .- weak wifi. This is the biggest issue. It is 2019 - having a '4-star' hotel with slow and disappearing wifi is a relic from the past. Please invest in fast internet. The small family hotels we go to on the Greek seaside have wifi so strong you can use on the public beach in front. Good luck even connecting to the router at the Mirage patio..- Similarly outdated TVs - small screens, bad reception. True- we barely used TVs since this is a beach vacation. But a 4-star hotel should have newer and better quality TVs so that guests feel comfortable even on a rainy day. .- Towels and shower gel. Relatively minor, but we noticed bath tower are the the most basic, low quality - as if taken out of communist times. Definitely not a 4-star hotel feature. Also, changed every 3 days for a beach hotel is not a good idea. The shower gel quality is also low, had to squeeze a ton to wash my hair - it's as if it has been diluted with water to save money. Please get better shower/body gel. We had just returned from a real 4-star hotel in Plovdiv where all bathroom facilities were on par with what we see in other parts of Europe/US so Mirage has no excuse for the low quality bathroom facilities. .With the above improvements to amenities, the hotel rating would immediately improve I believe..",8.0,"The hotel has a fantastic location, beach access and beautiful views. Rooms are decent-sized and food in the cafe/restaurant is tasty. This is the third time we stay at this hotel for our summer vacation and we hope to stay there again. It provides an enjoyable vacation as long as you're are aware of the drawbacks (listed below). Staff is friendly and polite, nothing beats the location. It's really just the outdated amenities that are a bit of a disappointment.. We have stayed at Mirage 3 times over the span of 6 years, and were a little disappointed some amenities have stayed the same (zero improvement) and below the level of a real 4-star hotel. These are: .- weak wifi. This is the biggest issue. It is 2019 - having a '4-star' hotel with slow and disappearing wifi is a relic from the past. Please invest in fast internet. The small family hotels we go to on the Greek seaside have wifi so strong you can use on the public beach in front. Good luck even connecting to the router at the Mirage patio..- Similarly outdated TVs - small screens, bad reception. True- we barely used TVs since this is a beach vacation. But a 4-star hotel should have newer and better quality TVs so that guests feel comfortable even on a rainy day. .- Towels and shower gel. Relatively minor, but we noticed bath tower are the the most basic, low quality - as if taken out of communist times. Definitely not a 4-star hotel feature. Also, changed every 3 days for a beach hotel is not a good idea. The shower gel quality is also low, had to squeeze a ton to wash my hair - it's as if it has been diluted with water to save money. Please get better shower/body gel. We had just returned from a real 4-star hotel in Plovdiv where all bathroom facilities were on par with what we see in other parts of Europe/US so Mirage has no excuse for the low quality bathroom facilities. .With the above improvements to amenities, the hotel rating would immediately improve I believe.."
1602,1995,3292,Mirage Hotel,Position.,Breakfast.,8.0,Position. Breakfast.
1603,1996,3293,Mirage Hotel,"Location right on the beach (you can even take the elevator to the beach level, it has a button labeled B). Also a nice small pool area with sunbeds and umbrelkas. .Staff always polite and ready to help..Room big enough and confortable, with a nice little balcony..Very clean (garbage taken out, room cleaned and fresh towels every day, sheets changed every 2 or 3 days)..10 minutes walk to shopping and restaurants area of new town, 15-20 minutes walk to the old town..Breakfast ok. For the other meals they have a restaurant and a cantina, so plenty of choices ..","Some facilities were a little dated, or needed minor maintenance. But nothing as bad as to affect confort..",9.0,"Location right on the beach (you can even take the elevator to the beach level, it has a button labeled B). Also a nice small pool area with sunbeds and umbrelkas. .Staff always polite and ready to help..Room big enough and confortable, with a nice little balcony..Very clean (garbage taken out, room cleaned and fresh towels every day, sheets changed every 2 or 3 days)..10 minutes walk to shopping and restaurants area of new town, 15-20 minutes walk to the old town..Breakfast ok. For the other meals they have a restaurant and a cantina, so plenty of choices .. Some facilities were a little dated, or needed minor maintenance. But nothing as bad as to affect confort.."
1604,1997,3294,Mirage Hotel,"parking place available at the Hotel, very nice beach, nice beach bar, very quiet area, no parties, no loud music....large suite... we forgot a new perfume in the room and they agreed to send it by courier,,very nice of them.",the suite was not facing the beach as we thought from the description on booking...but we could see the beach from the balcony.,9.0,"parking place available at the Hotel, very nice beach, nice beach bar, very quiet area, no parties, no loud music....large suite... we forgot a new perfume in the room and they agreed to send it by courier,,very nice of them. the suite was not facing the beach as we thought from the description on booking...but we could see the beach from the balcony."
1605,1998,3295,Mirage Hotel,Perfect location. Clean. Modern. Comfortable..,Bad technical support. Shower cabinet drainage not working. The electric bath turned on suddenly several times during the stay. Told staff but still was like this until the end of stay. Nobody came to have a look. Supposed to have wi-fi connection but could not use it. Reported to the reception but was not fixed until the end of stay..,9.0,Perfect location. Clean. Modern. Comfortable.. Bad technical support. Shower cabinet drainage not working. The electric bath turned on suddenly several times during the stay. Told staff but still was like this until the end of stay. Nobody came to have a look. Supposed to have wi-fi connection but could not use it. Reported to the reception but was not fixed until the end of stay..
1606,1999,3296,Mirage Hotel,Location.,Not resolving any issues.,8.0,Location. Not resolving any issues.
1607,2000,3297,Mirage Hotel,"Friendly staff, good breakfast and awesome location!.",,10.0,"Friendly staff, good breakfast and awesome location!. "
1608,2001,3298,Mirage Hotel,"The feeling of beeing home, freedom.",,10.0,"The feeling of beeing home, freedom. "
1609,2002,3299,Mirage Hotel,location at beach.,restaurant.,7.0,location at beach. restaurant.
1610,2003,3300,Mirage Hotel,Excellent location right near to the beach. Varied breakfast. Polite staff. Gorgeous view to the old town of Nessebar and the beach..,-.,10.0,Excellent location right near to the beach. Varied breakfast. Polite staff. Gorgeous view to the old town of Nessebar and the beach.. -.
1611,2004,3301,Mirage Hotel,Stuff and location of the hotel. For 3* all good..,All good. Maybe the breakfast can have more quality of the products..,7.0,Stuff and location of the hotel. For 3* all good.. All good. Maybe the breakfast can have more quality of the products..
1612,2005,3302,Mirage Hotel,"Friendly and helpful staff, best location by the sea! Very well organized and clean beach activities. .Will visit again next summer!.",None.,10.0,"Friendly and helpful staff, best location by the sea! Very well organized and clean beach activities. .Will visit again next summer!. None."
1613,2006,3303,Mirage Hotel,The view.Location.Amability.Rich breakfast options.,"No room cleaning, just bar checking.",9.0,"The view.Location.Amability.Rich breakfast options. No room cleaning, just bar checking."
1614,2007,3304,Mirage Hotel,Good location .Very good food .Friendly staff.,Disappointed with the cleaning .Difficulty to get sunbead and umbrella.,7.0,Good location .Very good food .Friendly staff. Disappointed with the cleaning .Difficulty to get sunbead and umbrella.
1615,2008,3305,Mirage Hotel,"Very good and diverse breakfast. .Excellent position of the hotel right on the beach. Unfortunately, the umbrella and sunbeds are paid..Very close to old town Nessebar.However, But the surroundings of the hotel are not attractive..","More care from the cleaning staff would be desirable. Very difficult with parking. .Although excellent disinfection conditions are ensured, almost no one wears a mask..",7.0,"Very good and diverse breakfast. .Excellent position of the hotel right on the beach. Unfortunately, the umbrella and sunbeds are paid..Very close to old town Nessebar.However, But the surroundings of the hotel are not attractive.. More care from the cleaning staff would be desirable. Very difficult with parking. .Although excellent disinfection conditions are ensured, almost no one wears a mask.."
1616,2009,3306,Mirage Hotel,"Location, stuff.","Food poor quality and hygiene,cold pool,not enough sun bed at the pool, cockroaches in the room, no enough amenities in the room..",5.0,"Location, stuff. Food poor quality and hygiene,cold pool,not enough sun bed at the pool, cockroaches in the room, no enough amenities in the room.."
1617,2010,3307,Mirage Hotel,Location is perfect. Old town is near by and the lift to the beach is just perfect. Parking place always available for us before booking in advance..,,9.0,Location is perfect. Old town is near by and the lift to the beach is just perfect. Parking place always available for us before booking in advance.. 
1618,2011,3308,Mirage Hotel,We liked the room.,,6.0,We liked the room. 
1619,2012,3309,Mirage Hotel,"The hotel is located directly on the beach. The rooms and their equipment are excellent. The staff is cultured and helpful. The sea view from the room is fantastic. The breakfast buffet was our eye-to-mouth stimulus for everything. We were on motorcycles, parking was not a problem. I really recommend it!",It was not.,10.0,"The hotel is located directly on the beach. The rooms and their equipment are excellent. The staff is cultured and helpful. The sea view from the room is fantastic. The breakfast buffet was our eye-to-mouth stimulus for everything. We were on motorcycles, parking was not a problem. I really recommend it! It was not."
1620,2013,3310,Mirage Hotel,,Great hotel! We're happy with everything!,10.0, Great hotel! We're happy with everything!
1621,2014,3311,Mirage Hotel,"Clean, pleasant decor. Excellent location. The lift is directly to the beach. An excellent breakfast with a varied menu and delicious cooked food in more than enough amount. Nice staff.",The pillows are very low and only one per bed.,9.0,"Clean, pleasant decor. Excellent location. The lift is directly to the beach. An excellent breakfast with a varied menu and delicious cooked food in more than enough amount. Nice staff. The pillows are very low and only one per bed."
1622,2015,3312,Mirage Hotel,"The hotel is very nice, large room, very comfortable, overlooking the old town of Nessebar but also the beach. The towels were cleaned daily and the towels were changed. Very advantageous is the elevator that takes you directly to the beach. Clean and tidy beach. I also liked the restaurant terrace, the polite and friendly staff. I will gladly return in the future.",Breakfast may be a little more varied. It's kind of monotonous.,9.0,"The hotel is very nice, large room, very comfortable, overlooking the old town of Nessebar but also the beach. The towels were cleaned daily and the towels were changed. Very advantageous is the elevator that takes you directly to the beach. Clean and tidy beach. I also liked the restaurant terrace, the polite and friendly staff. I will gladly return in the future. Breakfast may be a little more varied. It's kind of monotonous."
1623,2016,3313,Mirage Hotel,"The location of the hotel is perfect, on the beach, and the distance from the old town is 15 minutes walk on the seafront. The room is clean, linen and towels are changed, and the staff is very friendly. The elevator that takes you to the beach is great. I had a room with a sea view and I can say that I did therapy with the sound of the waves. Breakfast may be a little more varied.","I don't have much to complain about, it's a three * hotel and that's what it offers.",9.0,"The location of the hotel is perfect, on the beach, and the distance from the old town is 15 minutes walk on the seafront. The room is clean, linen and towels are changed, and the staff is very friendly. The elevator that takes you to the beach is great. I had a room with a sea view and I can say that I did therapy with the sound of the waves. Breakfast may be a little more varied. I don't have much to complain about, it's a three * hotel and that's what it offers."
1624,2017,3314,Mirage Hotel,the breakfast was fine,the beds were way too soft bad back every morning,8.0,the breakfast was fine the beds were way too soft bad back every morning
1625,2018,3315,Mirage Hotel,"The food in the restaurant is superb, but the breakfast is one-of-a-kind. Clean rooms, elevator that takes you down to the beach is a great comfort. Smiling and polite staff. We'd certainly visit again.",,10.0,"The food in the restaurant is superb, but the breakfast is one-of-a-kind. Clean rooms, elevator that takes you down to the beach is a great comfort. Smiling and polite staff. We'd certainly visit again. "
1626,2019,3316,Mirage Hotel,I recommend it! We had a very pleasant stay. This location is great! We're two floors from the beach and two minutes away. from the center! The hotel's cleanliness and especially the room was high.,,10.0,I recommend it! We had a very pleasant stay. This location is great! We're two floors from the beach and two minutes away. from the center! The hotel's cleanliness and especially the room was high. 
1627,2020,3317,Mirage Hotel,"hotel directly on the beach, view from the room to the sea, breakfast perfect, just not much coffee without us wanting in such a short stay, tidy room after two days, towels changed","who likes soft mattresses, for good; we didn't sleep well",9.0,"hotel directly on the beach, view from the room to the sea, breakfast perfect, just not much coffee without us wanting in such a short stay, tidy room after two days, towels changed who likes soft mattresses, for good; we didn't sleep well"
1628,2021,3318,Mirage Hotel,"The hotel is in a great location and great views, comfortable, clean and cosy, the service is excellent, offering everything you need to fully relax on the beach. We're not the first here, and we're definitely going to visit him again.",,10.0,"The hotel is in a great location and great views, comfortable, clean and cosy, the service is excellent, offering everything you need to fully relax on the beach. We're not the first here, and we're definitely going to visit him again. "
1629,2022,3319,Mirage Hotel,"Colourful and cosy room with sea view, varied breakfast, elevator to the beach, bistro on the first floor where you can eat anytime.Everything's great!",,10.0,"Colourful and cosy room with sea view, varied breakfast, elevator to the beach, bistro on the first floor where you can eat anytime.Everything's great! "
1630,2023,3320,Mirage Hotel,"Very varied breakfast, at your discretion, Swedish buffet type; very good quality food, at your discretion. Total daily cleaning in the room, extremely friendly staff. Air conditioning in the room. The hotel is located 20 m from the beach, the beach is cleaned impeccably every night,","1. The wi-fi signal in the area is a bit weak, but on mobile data and with an acceptable phone you can handle it. 2. Most Bulgarians do not know an international language (especially English), including some staff.",10.0,"Very varied breakfast, at your discretion, Swedish buffet type; very good quality food, at your discretion. Total daily cleaning in the room, extremely friendly staff. Air conditioning in the room. The hotel is located 20 m from the beach, the beach is cleaned impeccably every night, 1. The wi-fi signal in the area is a bit weak, but on mobile data and with an acceptable phone you can handle it. 2. Most Bulgarians do not know an international language (especially English), including some staff."
1631,2024,3321,Mirage Hotel,"Everything was on the level! The hotel is on the beachfront, close to the old town, there was a variety of food, there is a pool with sea views and we spent most of our time at the pool, not at the beach. And the view from our room was great! I recommend the Mirage Hotel!",Some of the food products were cheap.,9.0,"Everything was on the level! The hotel is on the beachfront, close to the old town, there was a variety of food, there is a pool with sea views and we spent most of our time at the pool, not at the beach. And the view from our room was great! I recommend the Mirage Hotel! Some of the food products were cheap."
1632,2025,3322,Mirage Hotel,Panorama,Non-diversified breakfast,8.0,Panorama Non-diversified breakfast
1633,2026,3323,Mirage Hotel,"Parking, Proximity to the beach, breakfast","Paid parking, payment for parasols and deck chairs",7.0,"Parking, Proximity to the beach, breakfast Paid parking, payment for parasols and deck chairs"
1634,2027,3324,Mirage Hotel,mayor,,10.0,mayor 
1635,2028,3325,Mirage Hotel,"You can admire the stunning views from the terrace for hours. The convenient location. Once again, we are more than happy. I recommend you visit him!",Parking is paid for this year.,10.0,"You can admire the stunning views from the terrace for hours. The convenient location. Once again, we are more than happy. I recommend you visit him! Parking is paid for this year."
1636,2030,3327,Mirage Hotel,"Great sea views on the waterfront, great food, a beautiful hotel with friendly staff.",There's no such thing.,10.0,"Great sea views on the waterfront, great food, a beautiful hotel with friendly staff. There's no such thing."
1637,2031,3328,Mirage Hotel,The location of the hotel is perfect. Breakfast was varied and tasty.,The fact that you can only get off the beach by lift between 9 am and 5 pm.,10.0,The location of the hotel is perfect. Breakfast was varied and tasty. The fact that you can only get off the beach by lift between 9 am and 5 pm.
1638,2032,3329,Mirage Hotel,"Cleanliness, location. The receptionists were very helpful.","The staff at the restaurant are very bored and rude. None of them refused to say hello. There was only bread for breakfast, no other baked goods. The door to the beach was closed at 6 p.m.",9.0,"Cleanliness, location. The receptionists were very helpful. The staff at the restaurant are very bored and rude. None of them refused to say hello. There was only bread for breakfast, no other baked goods. The door to the beach was closed at 6 p.m."
1639,2033,3330,Mirage Hotel,The place and the hotels are beautiful. I recommend hot.,,10.0,The place and the hotels are beautiful. I recommend hot. 
1640,2034,3331,Mirage Hotel,"Everything was great. Clean and spacious rooms. Breakfast was very good. The beach lift was very impressive, too. The view is unique.",,10.0,"Everything was great. Clean and spacious rooms. Breakfast was very good. The beach lift was very impressive, too. The view is unique. "
1641,2035,3332,Mirage Hotel,"Wonderful location, cleanliness, splendid weather, and overwhelming sea, that always! The old town is a real treat! I'll be back, just breakfast, not half board!","Unsatisfactory, repetitive, boring dinner! Poor in this regard! Lack of interest of the staff and, of course, of the manager!",8.0,"Wonderful location, cleanliness, splendid weather, and overwhelming sea, that always! The old town is a real treat! I'll be back, just breakfast, not half board! Unsatisfactory, repetitive, boring dinner! Poor in this regard! Lack of interest of the staff and, of course, of the manager!"
1642,2036,3333,Mirage Hotel,"The sea is perfectly clear in the morning. The hotel staff is kind and happy to welcome guests. Cleaning and disinfection is done regularly. The fp. The care is favorable, I didn't miss the fact that we didn't visit the surrounding restaurants.",Unfortunately the beach is very crowded. You need to book a sunbed at dawn because you're late for the morning.,9.0,"The sea is perfectly clear in the morning. The hotel staff is kind and happy to welcome guests. Cleaning and disinfection is done regularly. The fp. The care is favorable, I didn't miss the fact that we didn't visit the surrounding restaurants. Unfortunately the beach is very crowded. You need to book a sunbed at dawn because you're late for the morning."
1643,2038,3335,Mirage Hotel,"As always, everything's the best hotel in the Black Sea, us as well!",There's no such thing.,10.0,"As always, everything's the best hotel in the Black Sea, us as well! There's no such thing."
1644,2039,3336,Mirage Hotel,"Breakfast is excellent! Position, excellent!",That you had to pay for sun loungers and umbrellas.,10.0,"Breakfast is excellent! Position, excellent! That you had to pay for sun loungers and umbrellas."
1645,2040,3337,Mirage Hotel,Incredible views of the old town and the sea. Convenient location. Quiet and peaceful place. No big waves in this part of the resort.,"Upon check-in, the hotel could not find our reservation and, without understanding, sent us with 3 children and things to the neighboring building with apartments, they say, maybe they will accept you there. In the building with apartments, we were also not found on the lists, but we contacted the hotel and helped them find our reservation. In general, we ran several times, in the heat with children and suitcases, between the buildings until we were settled. No beach towels. Sun loungers need to be taken up to a maximum of 8 am to be closer to the sea (the first 4 rows).",9.0,"Incredible views of the old town and the sea. Convenient location. Quiet and peaceful place. No big waves in this part of the resort. Upon check-in, the hotel could not find our reservation and, without understanding, sent us with 3 children and things to the neighboring building with apartments, they say, maybe they will accept you there. In the building with apartments, we were also not found on the lists, but we contacted the hotel and helped them find our reservation. In general, we ran several times, in the heat with children and suitcases, between the buildings until we were settled. No beach towels. Sun loungers need to be taken up to a maximum of 8 am to be closer to the sea (the first 4 rows)."
1646,2041,3338,Mirage Hotel,"Beautiful sea views and friendly staff. Delicious breakfast, clean rooms and a comfortable elevator to the beach.",,10.0,"Beautiful sea views and friendly staff. Delicious breakfast, clean rooms and a comfortable elevator to the beach. "
1647,2042,3339,Mirage Hotel,The location was beautiful. Waking up with a sea view is a very refreshing morning.,The only drawback was the loud music from the neighbouring establishments.,9.0,The location was beautiful. Waking up with a sea view is a very refreshing morning. The only drawback was the loud music from the neighbouring establishments.
1648,2043,3340,Mirage Hotel,A very nice hotel with a great destination.,,10.0,A very nice hotel with a great destination. 
1649,2044,3341,Mirage Hotel,I like the location and the extremely friendly staff.,"I did not like the consumption available on request, otherwise you may be left without it (soaps, coffee, stirrers, shower gel). The TV had a feature on the screen, and there was a problem with the water running in the sink and the tub.",8.0,"I like the location and the extremely friendly staff. I did not like the consumption available on request, otherwise you may be left without it (soaps, coffee, stirrers, shower gel). The TV had a feature on the screen, and there was a problem with the water running in the sink and the tub."
1650,2045,3342,Mirage Hotel,"The location is great, couldn't be better. There is an elevator to the beach, straight from the room and into the sea. Sea view rooms are great",Liked everything,10.0,"The location is great, couldn't be better. There is an elevator to the beach, straight from the room and into the sea. Sea view rooms are great Liked everything"
1651,2046,3343,Mirage Hotel,"Clean rooms, pleasant interiors, friendly staff. Beautiful views from the rooms and terraces of the restaurant. Great cuisine. Direct access by elevator to the beach, which is clean and well-maintained.",It would be nice if the pillows were bigger and two per person.,10.0,"Clean rooms, pleasant interiors, friendly staff. Beautiful views from the rooms and terraces of the restaurant. Great cuisine. Direct access by elevator to the beach, which is clean and well-maintained. It would be nice if the pillows were bigger and two per person."
1652,2047,3344,Mirage Hotel,"The highlight of this hotel is its location. Living near the sea is a thrill.. falling asleep and waking up to the sound of the waves, and in the evening strolling slowly into the old town for a delicious dinner.",Breakfasts are sad,8.0,"The highlight of this hotel is its location. Living near the sea is a thrill.. falling asleep and waking up to the sound of the waves, and in the evening strolling slowly into the old town for a delicious dinner. Breakfasts are sad"
1653,2048,3345,Mirage Hotel,Great.,Everything was fine.,10.0,Great. Everything was fine.
1654,2049,3346,Mirage Hotel,"I mainly liked the hotel's location on the beach, which of course is always a plus. I generally think you won't be disappointed if you stay there.","The room was smaller than I expected, in this case I settled alone, but if I was with another person, it would be uncomfortable.",8.0,"I mainly liked the hotel's location on the beach, which of course is always a plus. I generally think you won't be disappointed if you stay there. The room was smaller than I expected, in this case I settled alone, but if I was with another person, it would be uncomfortable."
1655,2050,3347,Mirage Hotel,"beach, breakfast, location!",,9.0,"beach, breakfast, location! "
1656,2051,3348,Mirage Hotel,"Location, right ae, the proximity to Nessebar, peace, good, large room,  varied breakfast,  friendly staff",Actually everything was good so far,8.0,"Location, right ae, the proximity to Nessebar, peace, good, large room,  varied breakfast,  friendly staff Actually everything was good so far"
1657,2052,3349,Mirage Hotel,"Great, we'll visit them again.",Everything was on the level.,10.0,"Great, we'll visit them again. Everything was on the level."
1658,2053,3350,Mirage Hotel,Everything,,10.0,Everything 
1659,2054,3351,Mirage Hotel,Breakfast is varied and delicious. Salt scones are great.,It is not appropriate in this situation to have a bath in the bathroom without another possibility of a shower.,8.0,Breakfast is varied and delicious. Salt scones are great. It is not appropriate in this situation to have a bath in the bathroom without another possibility of a shower.
1660,2055,3352,Mirage Hotel,It was all great! I have no objections! The location of the hotel was amazing! Spacious room with a large and comfortable bed. The staff are smiling and helpful. The beach is maintained and clean.,,9.0,It was all great! I have no objections! The location of the hotel was amazing! Spacious room with a large and comfortable bed. The staff are smiling and helpful. The beach is maintained and clean. 
1661,2056,3353,Mirage Hotel,,That you had to pay for a parasol and a sun lounger,10.0, That you had to pay for a parasol and a sun lounger
1662,2057,3354,Mirage Hotel,"I'm very pleased with the hotel. The food was very tasty, the staff was very friendly, very good service. I liked the location, on the beach and near the old town.",,10.0,"I'm very pleased with the hotel. The food was very tasty, the staff was very friendly, very good service. I liked the location, on the beach and near the old town. "
1663,2058,3355,Mirage Hotel,"The location was great. It comes down from the hotel directly to the beach, which is a great treat. Public transport, diners, lunch options are all nearby, and the Old Town is just a 10-minute walk away. Breakfast was satisfactory, there was plenty of choice, and fresh fruit.",Bed linen and towels were all stuffed.,9.0,"The location was great. It comes down from the hotel directly to the beach, which is a great treat. Public transport, diners, lunch options are all nearby, and the Old Town is just a 10-minute walk away. Breakfast was satisfactory, there was plenty of choice, and fresh fruit. Bed linen and towels were all stuffed."
1664,2059,3356,Mirage Hotel,I liked the hotel's beach location best.,,10.0,I liked the hotel's beach location best. 
1665,2060,3357,Mirage Hotel,Rich and varied.,I have no objections.,10.0,Rich and varied. I have no objections.
1666,2061,3358,Mirage Hotel,Great location and very friendly staff.,,10.0,Great location and very friendly staff. 
1667,2062,3359,Mirage Hotel,Proximity to the old town,,8.0,Proximity to the old town 
1668,2063,3360,Mirage Hotel,"Very good location, you take the elevator down to the beach, which has a very good market, a very good price, a cosy double room with sea views, a very good breakfast, I would love to visit the hotel again.",,9.0,"Very good location, you take the elevator down to the beach, which has a very good market, a very good price, a cosy double room with sea views, a very good breakfast, I would love to visit the hotel again. "
1669,2064,3361,Mirage Hotel,"It's a beautiful hotel! Everything was on a level-- clean, comfortable, great sea views, elevator takes you down to the beach, hearty breakfast, delicious meal at the beach restaurant! We'll visit him again for sure!","The only inconvenience was that I had to be there by 6:00. You're gonna have to get down there and throw towels on the deck chairs, or you don't have a chance of beach seats.",10.0,"It's a beautiful hotel! Everything was on a level-- clean, comfortable, great sea views, elevator takes you down to the beach, hearty breakfast, delicious meal at the beach restaurant! We'll visit him again for sure! The only inconvenience was that I had to be there by 6:00. You're gonna have to get down there and throw towels on the deck chairs, or you don't have a chance of beach seats."
1670,2065,3362,Mirage Hotel,- Everything. - Yeah.,,10.0,- Everything. - Yeah. 
1671,2066,3363,Mirage Hotel,Everything else.,The short stay.,10.0,Everything else. The short stay.
1672,2067,3364,Mirage Hotel,Excellent breakfast and location!,,,
1673,2068,.Very good service!,,,,,
1674,2069,.Clean hotel and adjoining territory!,There was loud music from the tavern nearby.,10.0,Excellent breakfast and location!,,
1675,2070,.Very good service!,,,,,
1676,2071,.Clean hotel and adjoining territory! There was loud music from the tavern nearby.,,,,,
1677,2072,3365,Mirage Hotel,A great variety and excellent taste. The amount was quite enough.,The bathroom counter is not cleaned during the entire stay.,,
1678,2073,.The hotel does not have an access control system. Anyone can come and go at any time without having to identify themselves in front of the staff. At night the reception is off-duty for long periods of time.,9.0,A great variety and excellent taste. The amount was quite enough. The bathroom counter is not cleaned during the entire stay.,,,
1679,2074,.The hotel does not have an access control system. Anyone can come and go at any time without having to identify themselves in front of the staff. At night the reception is off-duty for long periods of time.,,,,,
1680,2075,3366,Mirage Hotel,"The staff attitude was great! They kept it clean at a very high level, and the location of the hotel is beyond awesome. A place we recommend to all and we'll definitely visit again!",,10.0,"The staff attitude was great! They kept it clean at a very high level, and the location of the hotel is beyond awesome. A place we recommend to all and we'll definitely visit again! "
1681,2076,3367,Mirage Hotel,Excellent breakfast. Dream location,Clothing space. It was depreciated and broken.,10.0,Excellent breakfast. Dream location Clothing space. It was depreciated and broken.
1682,2077,3368,Mirage Hotel,"The hotel's communications location, the view from the room and the pool.",,10.0,"The hotel's communications location, the view from the room and the pool. "
1683,2078,3369,Mirage Hotel,The sea view from the room is unique,,10.0,The sea view from the room is unique 
1684,2079,3370,Mirage Hotel,That's very generous. To the beach. It's all close. The brunch at the world mass. And the evening's great. Every day we're getting laid. Nqmam dumi Magnificent mqsto. It's all close. Old Town's a 10-minute dog.,,10.0,That's very generous. To the beach. It's all close. The brunch at the world mass. And the evening's great. Every day we're getting laid. Nqmam dumi Magnificent mqsto. It's all close. Old Town's a 10-minute dog. 
1685,2080,3371,Mirage Hotel,The hotel is on the line. Beautiful sea view. It's 15 minutes away. walk from the old town. Spacious room.,There is no such thing.,10.0,The hotel is on the line. Beautiful sea view. It's 15 minutes away. walk from the old town. Spacious room. There is no such thing.
1686,2081,3372,Mirage Hotel,"Great location, helpful staff, good breakfast. The lift leads directly to the beach. Very beautiful view from the room terrace.",The lack of mosquitoes is something to be desired in terms of cleanliness.,9.0,"Great location, helpful staff, good breakfast. The lift leads directly to the beach. Very beautiful view from the room terrace. The lack of mosquitoes is something to be desired in terms of cleanliness."
1687,2083,3374,Mirage Hotel,"Very clean, friendly staff!",,10.0,"Very clean, friendly staff! "
1688,2084,3375,Mirage Hotel,"The great location, the delicious breakfast and the friendly staff!",,10.0,"The great location, the delicious breakfast and the friendly staff! "
1689,2087,3378,Mirage Hotel,"Excellent location. Near the sea, it's gorgeous.",,9.0,"Excellent location. Near the sea, it's gorgeous. "
1690,2088,3379,Mirage Hotel,We chose the hotel because of the location. We were very pleasantly surprised by the elevator that leads to the beach. ,,,
1691,2089,.The food is well prepared. It's nice and clean in the rooms.,,,,,
1692,2090,.We'll definitely go back there.,"The air conditioning in the room was out, maybe the central was off... but it got cold at night and it didn't need to be.",9.0,"We chose the hotel because of the location. We were very pleasantly surprised by the elevator that leads to the beach. .The food is well prepared. It's nice and clean in the rooms..We'll definitely go back there. The air conditioning in the room was out, maybe the central was off... but it got cold at night and it didn't need to be.",,
1693,2091,3380,Mirage Hotel,"Location, cleanliness, environment, convenience!",,9.0,"Location, cleanliness, environment, convenience! "
1694,2092,3381,Mirage Hotel,"Breakfast is great, varied",,8.0,"Breakfast is great, varied "
1695,2093,3382,Mirage Hotel,"+ Good hotel feet in the water, next to the beach. Nice room with sea view. Well trained staff, . attentive and helpful.","- Buffet breakfast more than mediocre, low quality industrial products (except coffee). Soft bedding, mattresses are not up to par. Wifi more than insufficient! To avoid if you have to work.",8.0,"+ Good hotel feet in the water, next to the beach. Nice room with sea view. Well trained staff, . attentive and helpful. - Buffet breakfast more than mediocre, low quality industrial products (except coffee). Soft bedding, mattresses are not up to par. Wifi more than insufficient! To avoid if you have to work."
1696,2094,3383,Mirage Hotel,"As always, everything was on a high level!","No, no, no, no, no, no, no, no, no, no.",10.0,"As always, everything was on a high level! No, no, no, no, no, no, no, no, no, no."
1697,2095,3384,Mirage Hotel,Everything!,,10.0,Everything! 
1698,2096,3385,Mirage Hotel,"Service was on the level, very polite and friendly staff.",Very small TVs in the room.,10.0,"Service was on the level, very polite and friendly staff. Very small TVs in the room."
1699,2097,3386,Mirage Hotel,Both the rooms and the views of these. All the sea in front and an unbeatable location. .The breakfast is plentiful buffet style. .Very good facilities.,Absolutely everything perfect.,10.0,Both the rooms and the views of these. All the sea in front and an unbeatable location. .The breakfast is plentiful buffet style. .Very good facilities. Absolutely everything perfect.
1700,2098,3387,Mirage Hotel,"Amazing views, cosy and clean rooms, very tasty breakfast and good service in the restaurant.",The ladies at the front desk weren't very nice.,9.0,"Amazing views, cosy and clean rooms, very tasty breakfast and good service in the restaurant. The ladies at the front desk weren't very nice."
