,Unnamed: 0,Hotel,Liked,Disliked,Score,Combined comment
338,573,Family Hotel Avramov,,.“Nice location. Communication was very easy with the owners. Parking was on the street but there was enough space to park.”.,7.0, .“Nice location. Communication was very easy with the owners. Parking was on the street but there was enough space to park.”.
339,574,Family Hotel Avramov,,.“Много добро местоположение. Персоналът беше много отзивчив.”“Very good location. The staff has been very helpful.”.,7.0, .“Много добро местоположение. Персоналът беше много отзивчив.”“Very good location. The staff has been very helpful.”.
340,575,Family Hotel Avramov,,".“The hotel location is close to Danube, and the center is at walking distance.”.",8.0," .“The hotel location is close to Danube, and the center is at walking distance.”."
341,576,Family Hotel Avramov,,".“Пристигнахме вечерта. Посрещнаха ни веднага. Настанихме се. Всичко беше чисто, топло с удобни легла.”“We arrived at night. They met us right away. We're settled in. Everything was clean, warm with comfortable beds.”.",6.0," .“Пристигнахме вечерта. Посрещнаха ни веднага. Настанихме се. Всичко беше чисто, топло с удобни легла.”“We arrived at night. They met us right away. We're settled in. Everything was clean, warm with comfortable beds.”."
342,577,Family Hotel Avramov,,".“Малък и спокоен хотел, с много добро разположение. Усмихнат и услужлив персонал. Чисто и приятно място за отпускаща почивка.”“Small and peaceful hotel, very well located. Smiling and helpful staff. A clean and pleasant place to relax.”.",8.0," .“Малък и спокоен хотел, с много добро разположение. Усмихнат и услужлив персонал. Чисто и приятно място за отпускаща почивка.”“Small and peaceful hotel, very well located. Smiling and helpful staff. A clean and pleasant place to relax.”."
343,578,Family Hotel Avramov,,".“A family hotel... very friendly staff, very good coffee offered to us at 4am before we hit the road again. We were allowed to park just in front of the hotel for free. Room was clean and the bed was comfortable.”.",8.0," .“A family hotel... very friendly staff, very good coffee offered to us at 4am before we hit the road again. We were allowed to park just in front of the hotel for free. Room was clean and the bed was comfortable.”."
344,579,Family Hotel Avramov,,.“Много удобно местоположение. Хотелът се открива безпроблемно веднага след влизането в града.”“Very convenient location. The hotel is open without a hitch as soon as you enter the city.”.,5.0, .“Много удобно местоположение. Хотелът се открива безпроблемно веднага след влизането в града.”“Very convenient location. The hotel is open without a hitch as soon as you enter the city.”.
345,580,Family Hotel Avramov,,.“Усмихнат и приветлив персонал. Чист и поддържан хотел. Поръчаната закуска беше хубава и достатъчна. Местоположението е в близост до пешеходната зона.”“Smiling and friendly staff. Clean and maintained hotel. The breakfast order was good and good enough. The location is close to the pedestrian area.”.,9.0, .“Усмихнат и приветлив персонал. Чист и поддържан хотел. Поръчаната закуска беше хубава и достатъчна. Местоположението е в близост до пешеходната зона.”“Smiling and friendly staff. Clean and maintained hotel. The breakfast order was good and good enough. The location is close to the pedestrian area.”.
346,583,Family Hotel Avramov,,.“Nice location. Communication was very easy with the owners. Parking was on the street but there was enough space to park.”.,10.0, .“Nice location. Communication was very easy with the owners. Parking was on the street but there was enough space to park.”.
347,584,Family Hotel Avramov,,.“Много добро местоположение. Персоналът беше много отзивчив.”“Very good location. The staff has been very helpful.”.,10.0, .“Много добро местоположение. Персоналът беше много отзивчив.”“Very good location. The staff has been very helpful.”.
348,585,Family Hotel Avramov,,".“The hotel location is close to Danube, and the center is at walking distance.”.",5.0," .“The hotel location is close to Danube, and the center is at walking distance.”."
349,586,Family Hotel Avramov,,".“Пристигнахме вечерта. Посрещнаха ни веднага. Настанихме се. Всичко беше чисто, топло с удобни легла.”“We arrived at night. They met us right away. We're settled in. Everything was clean, warm with comfortable beds.”.",10.0," .“Пристигнахме вечерта. Посрещнаха ни веднага. Настанихме се. Всичко беше чисто, топло с удобни легла.”“We arrived at night. They met us right away. We're settled in. Everything was clean, warm with comfortable beds.”."
350,587,Family Hotel Avramov,,".“Малък и спокоен хотел, с много добро разположение. Усмихнат и услужлив персонал. Чисто и приятно място за отпускаща почивка.”“Small and peaceful hotel, very well located. Smiling and helpful staff. A clean and pleasant place to relax.”.",5.0," .“Малък и спокоен хотел, с много добро разположение. Усмихнат и услужлив персонал. Чисто и приятно място за отпускаща почивка.”“Small and peaceful hotel, very well located. Smiling and helpful staff. A clean and pleasant place to relax.”."
351,588,Family Hotel Avramov,,".“A family hotel... very friendly staff, very good coffee offered to us at 4am before we hit the road again. We were allowed to park just in front of the hotel for free. Room was clean and the bed was comfortable.”.",10.0," .“A family hotel... very friendly staff, very good coffee offered to us at 4am before we hit the road again. We were allowed to park just in front of the hotel for free. Room was clean and the bed was comfortable.”."
352,589,Family Hotel Avramov,,.“Много удобно местоположение. Хотелът се открива безпроблемно веднага след влизането в града.”“Very convenient location. The hotel is open without a hitch as soon as you enter the city.”.,10.0, .“Много удобно местоположение. Хотелът се открива безпроблемно веднага след влизането в града.”“Very convenient location. The hotel is open without a hitch as soon as you enter the city.”.
353,590,Family Hotel Avramov,,.“Усмихнат и приветлив персонал. Чист и поддържан хотел. Поръчаната закуска беше хубава и достатъчна. Местоположението е в близост до пешеходната зона.”“Smiling and friendly staff. Clean and maintained hotel. The breakfast order was good and good enough. The location is close to the pedestrian area.”.,9.0, .“Усмихнат и приветлив персонал. Чист и поддържан хотел. Поръчаната закуска беше хубава и достатъчна. Местоположението е в близост до пешеходната зона.”“Smiling and friendly staff. Clean and maintained hotel. The breakfast order was good and good enough. The location is close to the pedestrian area.”.
354,593,Family Hotel Avramov,,.“Nice location. Communication was very easy with the owners. Parking was on the street but there was enough space to park.”.,5.0, .“Nice location. Communication was very easy with the owners. Parking was on the street but there was enough space to park.”.
355,594,Villa Kada,"The hot tub, good kitchen, lots of space indoors and outdoor. Good bbq with outside seating. Very nice place to stay, would stay there again in a heartbeat..",,10.0,"The hot tub, good kitchen, lots of space indoors and outdoor. Good bbq with outside seating. Very nice place to stay, would stay there again in a heartbeat.. "
356,595,Villa Kada,Comfortable and well furnished house and garden  with all needed for pleasant holiday. Also very good location for sightseeing in Northwest Bulgaria..,,10.0,Comfortable and well furnished house and garden  with all needed for pleasant holiday. Also very good location for sightseeing in Northwest Bulgaria.. 
357,596,Villa Kada,"Amazing place! Photos are real! Jakuzzi under the rock is amazing. On the kitchen you will find everything that you need. Grass is soft, clean, we walked barefoot all the time..Host is great! Parking for 2 car on territory..",Everything was perfect.,10.0,"Amazing place! Photos are real! Jakuzzi under the rock is amazing. On the kitchen you will find everything that you need. Grass is soft, clean, we walked barefoot all the time..Host is great! Parking for 2 car on territory.. Everything was perfect."
358,597,Villa Kada,Everything!.,,10.0,Everything!. 
359,598,Villa Kada,"The villa has a wonderful garden with a rock in it's backyard. The fully equiped kitchen, the outdoor jacuzzi and the barbecue were much appreciated. It's the perfect escape from the daily routine. We will visit again ☺️.",,10.0,"The villa has a wonderful garden with a rock in it's backyard. The fully equiped kitchen, the outdoor jacuzzi and the barbecue were much appreciated. It's the perfect escape from the daily routine. We will visit again ☺️. "
360,599,Villa Kada,"Villa Kada was a peaceful getaway in a tiny village.  The location of the property against the cliffs was amazing, and we could see the distant snow capped mountains in the distance.  A few of the highlights were the secluded, quiet, and safe setting, fully equipped kitchen, comfortable beds, wood burning fireplaces, outdoor dining area, and the jacuzzi.  The host met us at the property, and was very friendly.  The property is completely surrounded by privacy fencing, and parking is available inside the gate.  Belogradchik is a short 15 minute drive.  I would recommend this place for a family getaway and base for exploring NorthEast Bulgaria..",Nothing!.,10.0,"Villa Kada was a peaceful getaway in a tiny village.  The location of the property against the cliffs was amazing, and we could see the distant snow capped mountains in the distance.  A few of the highlights were the secluded, quiet, and safe setting, fully equipped kitchen, comfortable beds, wood burning fireplaces, outdoor dining area, and the jacuzzi.  The host met us at the property, and was very friendly.  The property is completely surrounded by privacy fencing, and parking is available inside the gate.  Belogradchik is a short 15 minute drive.  I would recommend this place for a family getaway and base for exploring NorthEast Bulgaria.. Nothing!."
361,600,Villa Kada,"We loved everything about this house! The garden is cozy and well taken care, the kitchen is big and has everything you need to prepare your meals, the rooms are comfortable and the jacuzzi is an amazing plus to all of that ☺️ There is also a magical massage chair! We had a wonderful Xmas at the place and I couldn’t be more grateful to the host: always helpful, friendly and available. Highly recommend the place and will definitely come back :).",,10.0,"We loved everything about this house! The garden is cozy and well taken care, the kitchen is big and has everything you need to prepare your meals, the rooms are comfortable and the jacuzzi is an amazing plus to all of that ☺️ There is also a magical massage chair! We had a wonderful Xmas at the place and I couldn’t be more grateful to the host: always helpful, friendly and available. Highly recommend the place and will definitely come back :). "
362,601,Villa Kada,- the location.- the party potential.- the calmness.- the courtyard.- the host.,- nothing.,10.0,- the location.- the party potential.- the calmness.- the courtyard.- the host. - nothing.
363,602,Villa Kada,Great house with a beautiful red rock in the yard. Nice little details which makes the property really cosy and make you feel at home. All kitchen appliances that you need to prepare food by yourself..,,10.0,Great house with a beautiful red rock in the yard. Nice little details which makes the property really cosy and make you feel at home. All kitchen appliances that you need to prepare food by yourself.. 
364,603,Villa Kada,A+.,Everything.,10.0,A+. Everything.
365,604,Villa Kada,"Nice garden, nice hot tub near the rock, the kitchen was fully equipped..",There were ants in the kitchen and in one of the bedrooms..,9.0,"Nice garden, nice hot tub near the rock, the kitchen was fully equipped.. There were ants in the kitchen and in one of the bedrooms.."
366,605,Villa Kada,"The best word that describes the place is ""MEGA"". Amazing garden, amazing rocks, amazing design and amazing cosiness make it unique. It is so beautiful to sit on the street in the night and look on the bonfire drinking hot beverages. So cool to relax in jacuzzi with cold drinks while looking at the starry sky. Relax wouldn't be full without massage and the villa provides massage chair that was a big finding for us. The kitchen is fully equipped and it has everything that you need to cook your own food..",,10.0,"The best word that describes the place is ""MEGA"". Amazing garden, amazing rocks, amazing design and amazing cosiness make it unique. It is so beautiful to sit on the street in the night and look on the bonfire drinking hot beverages. So cool to relax in jacuzzi with cold drinks while looking at the starry sky. Relax wouldn't be full without massage and the villa provides massage chair that was a big finding for us. The kitchen is fully equipped and it has everything that you need to cook your own food.. "
367,606,Villa Kada,"Beautiful house, with a great yard. You have a mini-mountin in the backyard. A jacuzzi is a big bonus. A place for short or long stays. Everything was perfect..",-.,10.0,"Beautiful house, with a great yard. You have a mini-mountin in the backyard. A jacuzzi is a big bonus. A place for short or long stays. Everything was perfect.. -."
368,607,Villa Kada,"The house is located perfectly, it is close to road but there isn't big noise. It is a great place to make trips to caves and hills. We stayed there for 2 nights and it seemed too short. House is lovely, perfectlly located and our stay was great. We wish we will come back.",,10.0,"The house is located perfectly, it is close to road but there isn't big noise. It is a great place to make trips to caves and hills. We stayed there for 2 nights and it seemed too short. House is lovely, perfectlly located and our stay was great. We wish we will come back. "
369,608,Villa Kada,Everything.,Nothing.,10.0,Everything. Nothing.
370,609,Villa Kada,Wonderful guest house near the Belogradchik Rocks and Magura Cave. It is hard to find a better arranged guest house in this area. Very good design of the furniture and the garden. A wonderful place for privacy. Jacuzzi in the yard complements all good impressions..,It is a good idea to put a mirror on the road to allow the driver from the car coming out of the yard to see the traffic on the road..,10.0,Wonderful guest house near the Belogradchik Rocks and Magura Cave. It is hard to find a better arranged guest house in this area. Very good design of the furniture and the garden. A wonderful place for privacy. Jacuzzi in the yard complements all good impressions.. It is a good idea to put a mirror on the road to allow the driver from the car coming out of the yard to see the traffic on the road..
371,610,Villa Kada,"Great location..Hosts very friendly..Very good accommodation conditions, the villa is equipped with everything needed for a stay..",,10.0,"Great location..Hosts very friendly..Very good accommodation conditions, the villa is equipped with everything needed for a stay.. "
372,611,Villa Kada,"We stayed for two nights at Villa Kada with our dog. The house is at the road to Belogradchik, which is about 15 minutes away by car. We especially liked the big garden with the outdoor Jacuzzi and the cosy kitchen with the fireplace. There is a high wooden fence and the dog could play around in the garden undisturbed! There are only few neighbouring houses close by, the place is great for people looking for a quiet vacation close to Nature. The hosts were very friendly and hospitable and gave us valuable tips about the highlights of the region. I would definitely recommend staying with them if you are visiting the area!.",,10.0,"We stayed for two nights at Villa Kada with our dog. The house is at the road to Belogradchik, which is about 15 minutes away by car. We especially liked the big garden with the outdoor Jacuzzi and the cosy kitchen with the fireplace. There is a high wooden fence and the dog could play around in the garden undisturbed! There are only few neighbouring houses close by, the place is great for people looking for a quiet vacation close to Nature. The hosts were very friendly and hospitable and gave us valuable tips about the highlights of the region. I would definitely recommend staying with them if you are visiting the area!. "
373,612,Villa Kada,Outstanding view in the garden..Very good facilities. .Everything you need in the kitchen. .Host very kind and welcoming..,,10.0,Outstanding view in the garden..Very good facilities. .Everything you need in the kitchen. .Host very kind and welcoming.. 
374,613,Villa Kada,"Everything else: the garden, the jacuzi, the massage chair, all the facilities. The house is great for a weekend break.",Being next to the main road.,9.0,"Everything else: the garden, the jacuzi, the massage chair, all the facilities. The house is great for a weekend break. Being next to the main road."
375,614,Villa Kada,"Clean, warm and cozy",,10.0,"Clean, warm and cozy "
376,615,Villa Kada,"Unique courtyard, unique view, cleanliness",,10.0,"Unique courtyard, unique view, cleanliness "
377,616,Villa Kada,"A paradise on the way to Belogradchik..Renovated and furnished with a lot of love, style and taste..The beautiful location, the view, the patio with the gazebo, the outdoor jacuzzi, will help you to fully relax..Great comfort. All the comforts..Silence and tranquility",There's nothing we didn't like.,10.0,"A paradise on the way to Belogradchik..Renovated and furnished with a lot of love, style and taste..The beautiful location, the view, the patio with the gazebo, the outdoor jacuzzi, will help you to fully relax..Great comfort. All the comforts..Silence and tranquility There's nothing we didn't like."
378,617,Villa Kada,I loved it all!,"There is no such thing.A paradise, a perfect garden, a jacuzzi at the foot of a cliff, clean, tidy, kitchen with everything you need, even a friendly owner.",10.0,"I loved it all! There is no such thing.A paradise, a perfect garden, a jacuzzi at the foot of a cliff, clean, tidy, kitchen with everything you need, even a friendly owner."
379,618,Villa Kada,"All. This was our second visit to this place. We stayed for 2 nights and we have no regrets. The house and garden are at the highest level, very clean, the host is very nice. 2 km from Falkovets there is a small vineyard with very good wines. We will definitely use it again.",,10.0,"All. This was our second visit to this place. We stayed for 2 nights and we have no regrets. The house and garden are at the highest level, very clean, the host is very nice. 2 km from Falkovets there is a small vineyard with very good wines. We will definitely use it again. "
380,619,Villa Kada,The villa has all the comforts and is an exceptional place for both families and company.Conveniently located to local attractions.I recommend it!,,10.0,The villa has all the comforts and is an exceptional place for both families and company.Conveniently located to local attractions.I recommend it! 
381,620,Villa Kada,Everything,nothing,10.0,Everything nothing
382,621,Villa Kada,"The location of Villa Kada is extremely convenient and communicable. The property is reached by comfortable and paved roads from several destinations. The hosts are correct and committed to their guests. Exclusive managers who work hard to make the most of your guests' facilities. The villa features comfortable bedrooms with high ceilings and bathrooms, a large and fully equipped kitchen and dining area, a cosy and sheltered courtyard with jacuzzi, gazebo, BBQ and separate conversation areas all at the foot of a beautiful cliff. Villa Kada is close to the newly discovered Venus Cave and is not far from the popular Magura and the city. A whitelighter. The villa also communicates with the Garden Villa, also in Falkovets, which belongs to the same owners.",,10.0,"The location of Villa Kada is extremely convenient and communicable. The property is reached by comfortable and paved roads from several destinations. The hosts are correct and committed to their guests. Exclusive managers who work hard to make the most of your guests' facilities. The villa features comfortable bedrooms with high ceilings and bathrooms, a large and fully equipped kitchen and dining area, a cosy and sheltered courtyard with jacuzzi, gazebo, BBQ and separate conversation areas all at the foot of a beautiful cliff. Villa Kada is close to the newly discovered Venus Cave and is not far from the popular Magura and the city. A whitelighter. The villa also communicates with the Garden Villa, also in Falkovets, which belongs to the same owners. "
383,622,Villa Kada,"Clean, cozy, beautiful! This is the third time we've been here, and we'll be back. A beautiful courtyard, thought of in every detail! I recommend hot!",,10.0,"Clean, cozy, beautiful! This is the third time we've been here, and we'll be back. A beautiful courtyard, thought of in every detail! I recommend hot! "
384,623,Villa Kada,"We loved it all, friendly owners, the way you treat the smallest detail! Just fantastic!",There is no such thing.,10.0,"We loved it all, friendly owners, the way you treat the smallest detail! Just fantastic! There is no such thing."
385,624,Villa Kada,"A very cosy guest house with welcoming hosts. Everything was wonderful and we would definitely visit again in the warmer months. We had high expectations of the photos, but they were exceeded in person. Everything is in detail.",.,10.0,"A very cosy guest house with welcoming hosts. Everything was wonderful and we would definitely visit again in the warmer months. We had high expectations of the photos, but they were exceeded in person. Everything is in detail. ."
386,625,Villa Kada,"Everything was wonderful! There is a parking lot, a huge kitchen and a dining room. It's a beautiful garden and a view. Three rooms with a wide lovely bathroom. There were four of us, two couples, nothing was missing. A beautifully furnished house. We'd love to come back and visit their other villas, Rosa and Garden.",,10.0,"Everything was wonderful! There is a parking lot, a huge kitchen and a dining room. It's a beautiful garden and a view. Three rooms with a wide lovely bathroom. There were four of us, two couples, nothing was missing. A beautifully furnished house. We'd love to come back and visit their other villas, Rosa and Garden. "
387,626,Villa Kada,"It's a great place. It was very clean, very cosy and equipped with everything we needed for our stay (dishwasher, stove, large fridge, washing machine, etc.). The combination of nature and the jacuzzi makes the garden unique. Everything was thought of, and with the little details, you exceeded our expectations. The host is very kind and kind. We're charmed and very impressed. We'll definitely visit him again!",,10.0,"It's a great place. It was very clean, very cosy and equipped with everything we needed for our stay (dishwasher, stove, large fridge, washing machine, etc.). The combination of nature and the jacuzzi makes the garden unique. Everything was thought of, and with the little details, you exceeded our expectations. The host is very kind and kind. We're charmed and very impressed. We'll definitely visit him again! "
388,627,Villa Kada,"A great place, cosy, very stylish, combined with the rocks above the house, the atmosphere was memorable.",,10.0,"A great place, cosy, very stylish, combined with the rocks above the house, the atmosphere was memorable. "
389,628,Villa Kada,"A beautiful garden with amenities and amenities, cleanliness throughout the property!.A quiet place to relax from the accelerated everyday life!.Friendly and smiling people!.We would love to visit Villa Kada again and recommend you see for yourself and visit this wonderful place under the rocks!🤩🍹🤩",No remarks!,10.0,"A beautiful garden with amenities and amenities, cleanliness throughout the property!.A quiet place to relax from the accelerated everyday life!.Friendly and smiling people!.We would love to visit Villa Kada again and recommend you see for yourself and visit this wonderful place under the rocks!🤩🍹🤩 No remarks!"
390,629,Villa Kada,I like it all! I have no objections!,,10.0,I like it all! I have no objections! 
391,630,Villa Kada,"It's a unique place. Cosy and comfortable, equipped with all necessary, designed and built with exceptional taste and attention to detail! Bravo, hosts!",,10.0,"It's a unique place. Cosy and comfortable, equipped with all necessary, designed and built with exceptional taste and attention to detail! Bravo, hosts! "
392,631,Villa Kada,- Everything. - Yeah.,"No, no, no, no, no, no, no, no.",10.0,"- Everything. - Yeah. No, no, no, no, no, no, no, no."
393,632,Villa Kada,We liked the hosts for our convenience.We're very pleased. It's worth going to.,,10.0,We liked the hosts for our convenience.We're very pleased. It's worth going to. 
394,633,Villa Kada,Cozy and quiet! All kinds of amenities are provided for your stay there! 🙂🙂🙂,,10.0,Cozy and quiet! All kinds of amenities are provided for your stay there! 🙂🙂🙂 
395,634,Villa Kada,"Utah and nature in one. Clean, beautiful, calm, comfortable. We loved it.",,10.0,"Utah and nature in one. Clean, beautiful, calm, comfortable. We loved it. "
396,635,Villa Kada,"Everything is more than pleasant. Clean, beautiful, it is clear that they approached the design of the villa very creatively and with love.","One of the reasons for choosing the villa was the jacuzzi but it didn't work. The owner said that there are occasional malfunctions. So the jacuzzi was never used, which was very upsetting.",10.0,"Everything is more than pleasant. Clean, beautiful, it is clear that they approached the design of the villa very creatively and with love. One of the reasons for choosing the villa was the jacuzzi but it didn't work. The owner said that there are occasional malfunctions. So the jacuzzi was never used, which was very upsetting."
397,636,Villa Kada,"The villa is tastefully furnished, has a beautiful garden and it lends itself to those who want rest and relaxation.",Bed was a bit uncomfortable. Also in a three bedroom villa there is only one bathroom.,8.0,"The villa is tastefully furnished, has a beautiful garden and it lends itself to those who want rest and relaxation. Bed was a bit uncomfortable. Also in a three bedroom villa there is only one bathroom."
398,637,Villa Kada,"A wonderful combination of natural creation and human creativity, a sense of beauty and work!",,10.0,"A wonderful combination of natural creation and human creativity, a sense of beauty and work! "
399,638,Villa Kada,"The place and the cottage were great! Rooms are spacious and comfortable enough, the bathroom is large and comfortable..The kitchen and dining room separate from the bedrooms was great. The yard is really beautiful, and just like the pictures, it's peaceful and beautiful! .The kitchen/dining room is equipped with all the necessary amenities and is a real pleasure to cook and dine in. .We loved it and would recommend it or stay here again.  (the whole company agrees with this opinion))",It was not described that one bathroom was actually an external toilet. There is a bathroom that is actually in the bedrooms and in the evening or early morning it is a little more complicated when the villa is shared by 6 people.,9.0,"The place and the cottage were great! Rooms are spacious and comfortable enough, the bathroom is large and comfortable..The kitchen and dining room separate from the bedrooms was great. The yard is really beautiful, and just like the pictures, it's peaceful and beautiful! .The kitchen/dining room is equipped with all the necessary amenities and is a real pleasure to cook and dine in. .We loved it and would recommend it or stay here again.  (the whole company agrees with this opinion)) It was not described that one bathroom was actually an external toilet. There is a bathroom that is actually in the bedrooms and in the evening or early morning it is a little more complicated when the villa is shared by 6 people."
400,639,Villa Kada,Fantastic place. It's a pity we arrived so late and could only stay one night. We will come back there someday.,,9.0,Fantastic place. It's a pity we arrived so late and could only stay one night. We will come back there someday. 
401,640,Villa Kada,It's an amazing place to relax. Clear. Clear. Modern and with all the comforts. I'd like to point out that it's much more beautiful than the pictures. It's warm. - Spacious. Suitable for groups who prefer to prepare their own meals.,,10.0,It's an amazing place to relax. Clear. Clear. Modern and with all the comforts. I'd like to point out that it's much more beautiful than the pictures. It's warm. - Spacious. Suitable for groups who prefer to prepare their own meals. 
402,641,Villa Kada,Very welcoming in a strategic location to visit northern Bulgaria and especially Belogradchik. Excellent amenities and hospitality. A little gem,,10.0,Very welcoming in a strategic location to visit northern Bulgaria and especially Belogradchik. Excellent amenities and hospitality. A little gem 
403,642,Villa Kada,The location is unique. All the surrounding attractions are easily accessible and quickly.,"It's pretty loud. The house is on the road, and there are a lot of cars coming through.",7.0,"The location is unique. All the surrounding attractions are easily accessible and quickly. It's pretty loud. The house is on the road, and there are a lot of cars coming through."
404,660,Villa Garden,,".“Everything about the house was great — it's even nicer than what you can see in the photos. The bedrooms were very comfortable, cosy and warm, the kitchen had everything we might need, and we loved the garden and the tennis court. The hosts were really kind and helpful, and the area was beautiful and easy to get to. Overall we had an amazing time, can't recommend this place more.”.",10.0," .“Everything about the house was great — it's even nicer than what you can see in the photos. The bedrooms were very comfortable, cosy and warm, the kitchen had everything we might need, and we loved the garden and the tennis court. The hosts were really kind and helpful, and the area was beautiful and easy to get to. Overall we had an amazing time, can't recommend this place more.”."
405,661,Villa Garden,,".“Wspaniałe miejsce zapewniające relaks dla całej rodziny! Położone w pięknej okolicy, pokoje nieskazitelnie czyste, piękne łazienki, duża kuchnia, która posiada wszystko czego potrzebujesz. Dobry kontakt z właścicielem. Jesteśmy bardzo zadowoleni z pobytu i będziemy polecać znajomym 😀”“A great place to relax for the whole family! Beautiful location, spotlessly clean rooms, beautiful bathrooms, large kitchen that has everything you need. Good contact with the owner. We are very pleased with the stay and we will recommend it to friends 😀”.",10.0," .“Wspaniałe miejsce zapewniające relaks dla całej rodziny! Położone w pięknej okolicy, pokoje nieskazitelnie czyste, piękne łazienki, duża kuchnia, która posiada wszystko czego potrzebujesz. Dobry kontakt z właścicielem. Jesteśmy bardzo zadowoleni z pobytu i będziemy polecać znajomym 😀”“A great place to relax for the whole family! Beautiful location, spotlessly clean rooms, beautiful bathrooms, large kitchen that has everything you need. Good contact with the owner. We are very pleased with the stay and we will recommend it to friends 😀”."
406,662,Villa Garden,,".“Вилата е много чиста, всичко е новичко, има игрище за тенис. Почти всички удобства са налични за лятна и зимна почивка.”“The villa is very clean, all new, has a tennis court. Almost all facilities are available for summer and winter holidays.”.",9.0," .“Вилата е много чиста, всичко е новичко, има игрище за тенис. Почти всички удобства са налични за лятна и зимна почивка.”“The villa is very clean, all new, has a tennis court. Almost all facilities are available for summer and winter holidays.”."
407,663,Villa Garden,,".“Страхотна къща за почивка, снабдена със всичко необходимо!”“A great vacation home, all the amenities you need!”.",10.0," .“Страхотна къща за почивка, снабдена със всичко необходимо!”“A great vacation home, all the amenities you need!”."
408,664,Villa Garden,,".“Страхотно място за почивка с прекрасна градина, подходяща за различни дейности с басейн и тенис корт. Къщата е прекрасна, спалните са удобни и всяка има собствен чар. Кухнята е голяма, оборудвана с всичко необходимо! Истинска почивка!”“A great place to relax with a lovely garden, suitable for various activities with a pool and tennis court. The house is beautiful, the bedrooms are comfortable and each has its own charm. The kitchen is large and equipped with everything you need! A real vacation!”.",10.0," .“Страхотно място за почивка с прекрасна градина, подходяща за различни дейности с басейн и тенис корт. Къщата е прекрасна, спалните са удобни и всяка има собствен чар. Кухнята е голяма, оборудвана с всичко необходимо! Истинска почивка!”“A great place to relax with a lovely garden, suitable for various activities with a pool and tennis court. The house is beautiful, the bedrooms are comfortable and each has its own charm. The kitchen is large and equipped with everything you need! A real vacation!”."
409,665,Villa Garden,"Everything about the house was great — it's even nicer than what you can see in the photos. The bedrooms were very comfortable, cosy and warm, the kitchen had everything we might need, and we loved the garden and the tennis court. The hosts were really kind and helpful, and the area was beautiful and easy to get to. Overall we had an amazing time, can't recommend this place more..",,10.0,"Everything about the house was great — it's even nicer than what you can see in the photos. The bedrooms were very comfortable, cosy and warm, the kitchen had everything we might need, and we loved the garden and the tennis court. The hosts were really kind and helpful, and the area was beautiful and easy to get to. Overall we had an amazing time, can't recommend this place more.. "
410,666,Villa Garden,"A great place to relax for the whole family! Beautiful location, spotlessly clean rooms, beautiful bathrooms, large kitchen that has everything you need. Good contact with the owner. We are very pleased with the stay and we will recommend it to friends 😀",,10.0,"A great place to relax for the whole family! Beautiful location, spotlessly clean rooms, beautiful bathrooms, large kitchen that has everything you need. Good contact with the owner. We are very pleased with the stay and we will recommend it to friends 😀 "
411,667,Villa Garden,"The villa is very clean, all new, has a tennis court. Almost all facilities are available for summer and winter holidays.","White casers-- no corkscrew found, no mirror in one bathroom. 🙂",10.0,"The villa is very clean, all new, has a tennis court. Almost all facilities are available for summer and winter holidays. White casers-- no corkscrew found, no mirror in one bathroom. 🙂"
412,668,Villa Garden,"A great vacation home, all the amenities you need!",,10.0,"A great vacation home, all the amenities you need! "
413,669,Villa Garden,"A great place to relax with a lovely garden, suitable for various activities with a pool and tennis court. The house is beautiful, the bedrooms are comfortable and each has its own charm. The kitchen is large and equipped with everything you need! A real vacation!",,10.0,"A great place to relax with a lovely garden, suitable for various activities with a pool and tennis court. The house is beautiful, the bedrooms are comfortable and each has its own charm. The kitchen is large and equipped with everything you need! A real vacation! "
414,670,Villa Garden,,".“Everything about the house was great — it's even nicer than what you can see in the photos. The bedrooms were very comfortable, cosy and warm, the kitchen had everything we might need, and we loved the garden and the tennis court. The hosts were really kind and helpful, and the area was beautiful and easy to get to. Overall we had an amazing time, can't recommend this place more.”.",10.0," .“Everything about the house was great — it's even nicer than what you can see in the photos. The bedrooms were very comfortable, cosy and warm, the kitchen had everything we might need, and we loved the garden and the tennis court. The hosts were really kind and helpful, and the area was beautiful and easy to get to. Overall we had an amazing time, can't recommend this place more.”."
415,671,Villa Garden,,".“Wspaniałe miejsce zapewniające relaks dla całej rodziny! Położone w pięknej okolicy, pokoje nieskazitelnie czyste, piękne łazienki, duża kuchnia, która posiada wszystko czego potrzebujesz. Dobry kontakt z właścicielem. Jesteśmy bardzo zadowoleni z pobytu i będziemy polecać znajomym 😀”“A great place to relax for the whole family! Beautiful location, spotlessly clean rooms, beautiful bathrooms, large kitchen that has everything you need. Good contact with the owner. We are very pleased with the stay and we will recommend it to friends 😀”.",9.0," .“Wspaniałe miejsce zapewniające relaks dla całej rodziny! Położone w pięknej okolicy, pokoje nieskazitelnie czyste, piękne łazienki, duża kuchnia, która posiada wszystko czego potrzebujesz. Dobry kontakt z właścicielem. Jesteśmy bardzo zadowoleni z pobytu i będziemy polecać znajomym 😀”“A great place to relax for the whole family! Beautiful location, spotlessly clean rooms, beautiful bathrooms, large kitchen that has everything you need. Good contact with the owner. We are very pleased with the stay and we will recommend it to friends 😀”."
